Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3k9PtGmPNnQtt32TKWm6f3,"Basti Ka Hasti","Insaan","MC STAN",2022-02-18,195428,55,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:22:03Z,"hindi hip hop,desi hip hop","MC Stan",0.726,0.624,9,-7.741,1,0.382,0.156,0,0.601,0.421,139.594,4
spotify:track:0MYof8K1RPjc1Htnr7CDa6,"Snake","Snake","MC STAN",2021-03-19,281088,53,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:22:08Z,"hindi hip hop,desi hip hop","MC Stan",0.707,0.625,4,-7.638,0,0.145,0.709,0.00000277,0.298,0.477,123.028,4
spotify:track:6btegcu44HqquqArljhFxu,"Nanchaku","न","Seedhe Maut;MC STAN",2021-09-08,193116,15,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:22:17Z,"desi hip hop,hindi hip hop,hardcore hip hop","Azadi Records",0.81,0.66,2,-8.791,1,0.316,0.141,0,0.173,0.443,140.081,4
spotify:track:0uk9sQ7MjK0CdAUinD4xBV,"Ek Din Pyaar","Tadipaar","MC STAN",2020-12-31,186600,56,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:22:28Z,"hindi hip hop,desi hip hop","MC Stan",0.717,0.699,5,-5.665,0,0.251,0.223,0,0.139,0.689,100.147,4
spotify:track:3n2eisc44JF5RPgTioYOSA,"Wata","Wata","MC STAN",2018-08-08,155315,39,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:23:03Z,"hindi hip hop,desi hip hop","MC Stan",0.897,0.34,1,-9.085,1,0.163,0.168,0,0.0874,0.198,140.097,4
spotify:track:2gNMXJDKRmKWuevBGjN8wo,"3:59 AM","Punya Paap","DIVINE",2020-12-03,272197,64,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:24:03Z,"hindi hip hop,desi hip hop,punjabi hip hop,punjabi pop","Universal Music India Pvt Ltd.",0.669,0.588,2,-6.902,1,0.339,0.177,0,0.179,0.237,97.026,4
spotify:track:1xSCr5uIndaHKFdO4s2V6B,"Satya","Punya Paap","DIVINE",2020-12-03,182640,56,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:24:19Z,"hindi hip hop,desi hip hop,punjabi hip hop,punjabi pop","Universal Music India Pvt Ltd.",0.598,0.804,2,-5.39,1,0.123,0.0576,0,0.252,0.322,139.737,4
spotify:track:7zKzD5wM18bQSiJTAxTpwH,"Mirchi","Punya Paap","DIVINE;MC Altaf;Stylo G;Phenom",2020-12-03,192923,50,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:24:24Z,"hindi hip hop,desi hip hop,punjabi hip hop,punjabi pop,dancehall,soca,witch house","Universal Music India Pvt Ltd.",0.871,0.608,6,-5.486,1,0.4,0.142,0,0.0876,0.818,129.784,4
spotify:track:2ywkj6sjyVBmq46wgIgIlw,"Shehnai","Punya Paap","DIVINE",2020-12-03,153600,33,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:24:28Z,"hindi hip hop,desi hip hop,punjabi hip hop,punjabi pop","Universal Music India Pvt Ltd.",0.73,0.576,10,-9.218,1,0.243,0.00343,0,0.141,0.601,99.958,4
spotify:track:3zIhQR5cyxpVn8WpEivBCr,"Punya Paap","Punya Paap","DIVINE",2020-12-03,180558,43,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:24:34Z,"hindi hip hop,desi hip hop,punjabi hip hop,punjabi pop","Universal Music India Pvt Ltd.",0.781,0.488,1,-9.138,1,0.317,0.0515,0.00000968,0.1,0.449,139.899,4
spotify:track:1VYMsDdZ3toHtlZxAGS95n,"Kohinoor","Kohinoor","DIVINE",2019-10-09,198857,50,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:24:41Z,"hindi hip hop,desi hip hop,punjabi hip hop,punjabi pop","Universal Music India Pvt Ltd.",0.634,0.884,6,-6.259,1,0.334,0.0994,0,0.266,0.39,103.974,4
spotify:track:3DXP7pJNl1AmAUl90CAGe0,"Gandhi Money","Kohinoor","DIVINE",2019-10-09,175500,44,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:24:46Z,"hindi hip hop,desi hip hop,punjabi hip hop,punjabi pop","Universal Music India Pvt Ltd.",0.807,0.674,1,-6.94,1,0.119,0.0174,0.00000604,0.061,0.788,94.984,4
spotify:track:4LCNHHhUJB0rqvmlxwstmN,"Vibe Hai","Kohinoor","DIVINE;Aavrutti;D'Evil;Shah Rule",2019-10-09,201000,46,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:24:52Z,"hindi hip hop,desi hip hop,punjabi hip hop,punjabi pop","Universal Music India Pvt Ltd.",0.646,0.812,11,-6.861,1,0.621,0.237,0,0.777,0.829,104.232,3
spotify:track:6AooRgSRDzbCYL4NZ4RCjU,"Chal Bombay","Kohinoor","DIVINE",2019-10-09,174000,54,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:24:57Z,"hindi hip hop,desi hip hop,punjabi hip hop,punjabi pop","Universal Music India Pvt Ltd.",0.862,0.619,6,-6.645,0,0.318,0.0434,0,0.117,0.512,95.036,4
spotify:track:29m79w9xPMH4YCD6r8JSmV,"Excuses","Excuses","AP Dhillon;Gurinder Gill;Intense",2020-07-24,176232,74,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:25:19Z,"punjabi hip hop,punjabi pop,desi,bhangra,desi hip hop","RUN-UP RECORDS",0.837,0.717,5,-7.749,0,0.0822,0.0842,0,0.149,0.494,94.984,4
spotify:track:3UhmuWcFaLS3AO3kI9ynQ2,"Insane","Insane","AP Dhillon;Shinda Kahlon;Gurinder Gill;Gminxr",2021-04-16,206060,69,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:25:25Z,"punjabi hip hop,punjabi pop,desi,bhangra,desi hip hop","RUN-UP RECORDS",0.796,0.572,8,-7.03,0,0.0545,0.416,0.0000255,0.0975,0.304,98.967,4
spotify:track:2PcGqmKToUz0s65q1Acg7d,"SPACESHIP","HIDDEN GEMS","AP Dhillon;Shinda Kahlon;Gminxr",2021-11-21,124498,59,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:25:40Z,"punjabi hip hop,punjabi pop,desi,bhangra,desi hip hop","RUN-UP RECORDS",0.69,0.683,5,-7.186,0,0.0968,0.076,0.000113,0.134,0.549,160.088,4
spotify:track:58f4twRnbZOOVUhMUpplJ4,"Brown Munde","Brown Munde","AP Dhillon;Gminxr;Gurinder Gill;Shinda Kahlon",2020-09-18,254400,71,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:26:00Z,"punjabi hip hop,punjabi pop,desi,bhangra,desi hip hop","Run-up Records",0.854,0.611,8,-6.26,0,0.0864,0.223,0,0.119,0.417,100.024,4
spotify:track:7b8BHkjW0vfgT54yXp0Lvn,"Sunn Na","Sunn Na","Bali",2020-01-24,171162,49,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:26:24Z,"hindi hip hop,desi hip hop","Mr Bali",0.85,0.526,1,-10.047,1,0.238,0.417,0.000275,0.0913,0.377,128.983,4
spotify:track:1BjFMR7Cb8yaQyOsZBszML,"Flex","Flex","Bali;Ikka",2022-03-31,200106,35,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:26:29Z,"hindi hip hop,desi hip hop,bollywood,desi","Warner Music India",0.785,0.942,2,-1.532,1,0.241,0.143,0,0.182,0.931,97.988,4
spotify:track:5HPo4dz4rvFaKBdcE8Ss9l,"Feel Hai","Feel Hai","Bali;Badshah",2021-09-29,178245,31,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:26:32Z,"hindi hip hop,desi hip hop,bollywood,desi,hindi pop,desi pop","Sky Digital",0.868,0.752,9,-6.39,1,0.0611,0.403,0.000288,0.11,0.498,125.013,4
spotify:track:1VUILWlKpNib3uJp9pb0Xl,"Hutt Hutt","Hutt Hutt","Bali",2021-02-12,183583,41,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:26:36Z,"hindi hip hop,desi hip hop","Kalamkaar",0.802,0.569,1,-4.976,1,0.0703,0.279,0,0.131,0.232,105.044,4
spotify:track:0pdFx9OpCOgGsbzwOIqfTN,"Bass","Bass","Bali",2019-08-18,155006,35,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:26:40Z,"hindi hip hop,desi hip hop","Mr Bali",0.799,0.618,11,-4.074,0,0.159,0.0897,0,0.171,0.488,96.035,4
spotify:track:7xHG6LdShPMXeL5SllDprP,"IICONIC","The Carnival","King",2020-09-21,178339,0,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:27:11Z,"desi hip hop,hindi hip hop,desi pop,hindi pop,hindi indie","Kingsclan Records",0.549,0.751,6,-4.398,0,0.179,0.637,0,0.113,0.164,138.504,4
spotify:track:5vdWj5rEzg9lg5qbE98PmX,"Desi Dan Bilzerian","The Gorilla Bounce","King",2021-10-15,201379,0,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:27:20Z,"desi hip hop,hindi hip hop,desi pop,hindi pop,hindi indie","Kingsclan Records",0.718,0.489,2,-7.406,1,0.413,0.0287,0.00000939,0.058,0.582,173.915,4
spotify:track:5D0mj9w9b6PVXk4O2F5MyU,"Antidote","Antidote","Bella",2022-02-11,205125,0,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:27:41Z,"desi hip hop,hindi hip hop","BellaOfficials",0.852,0.544,10,-8.078,0,0.0689,0.555,0.00000233,0.0788,0.89,125.035,4
spotify:track:04oFH2XMbhGn1EjmejkJjf,"I'm on Mars","That's the God I Know","Bella",2022-03-18,201195,0,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:27:46Z,"desi hip hop,hindi hip hop","Indprolook",0.836,0.738,7,-6.54,0,0.0472,0.779,0,0.0947,0.866,105.016,4
spotify:track:5ic4Iyzvg5E8ZPGlGXyRcy,"Humble Poet","Humble Poet","Bella",2022-04-04,228089,0,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:27:57Z,"desi hip hop,hindi hip hop","Indprolook",0.82,0.495,1,-9.023,0,0.069,0.366,0,0.102,0.529,99.998,4
spotify:track:605r6rtj7kBlJwZWmYx1Dt,"WE ROLLIN","WE ROLLIN","Shubh",2021-09-17,199205,0,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:29:06Z,"punjabi hip hop,punjabi pop,desi hip hop,hindi hip hop,desi","Malsons-Shubh",0.816,0.503,4,-9.112,0,0.197,0.262,0.00000716,0.104,0.278,85.003,4
spotify:track:6btas8Eignhw8yKp4VJvGi,"ELEVATED","ELEVATED","Shubh",2022-03-12,200658,0,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:29:10Z,"punjabi hip hop,punjabi pop,desi hip hop,hindi hip hop,desi","Malsons-Shubh",0.831,0.533,6,-5.777,0,0.0897,0.212,0.0000325,0.306,0.604,93.034,4
spotify:track:5B4YQN1FCuADJ0o4phAtwC,"NO LOVE","NO LOVE","Shubh",2022-02-26,170387,0,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:29:14Z,"punjabi hip hop,punjabi pop,desi hip hop,hindi hip hop,desi","Malsons-Shubh",0.771,0.486,4,-8.952,0,0.0393,0.243,0,0.191,0.733,137.058,4
spotify:track:3z8833PfZDs3pwRLDc8mjy,"Sort Hai","Sort Hai","J Trix;Subspace",2022-03-25,151034,24,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:31:19Z,"desi hip hop,hindi hip hop,hardcore hip hop","J Trix & Subspace",0.934,0.636,4,-8.788,0,0.303,0.105,0,0.315,0.719,125.114,4
spotify:track:5lcueaBFTcHpQdiOdRIzgo,"Bohot Sahi","Bohot Sahi","J Trix;Subspace;KR$NA",2021-01-22,166142,38,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:31:22Z,"desi hip hop,hindi hip hop,hardcore hip hop,punjabi hip hop","Kalamkaar",0.823,0.716,1,-4.677,1,0.33,0.125,0,0.211,0.359,144.998,4
spotify:track:1BHoFR1Xm34KGVLVK4O7wQ,"Khamoshi","Khamoshi","Munawar Faruqui;Farhan Khan",2022-02-13,225882,40,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T15:39:44Z,"desi hip hop,hindi hip hop,punjabi pop,punjabi hip hop","Kala Kranti Media",0.784,0.571,5,-7.026,1,0.266,0.677,0,0.113,0.942,85,4
spotify:track:563LDCJITK0nOQW5ddSj4P,"Ghaafil","Ghaafil","Adil Sultan;Talha Anjum",2020-11-22,211416,35,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-25T07:42:33Z,"desi hip hop,hindi hip hop,desi,punjabi hip hop","High Zone Records",0.841,0.329,9,-14.393,0,0.253,0.564,0.0000548,0.0945,0.455,120.057,4
spotify:track:1J9OoW4eLxIjwo10lBB83x,"Broke Is A Joke","Broke Is A Joke","MC STAN",2021-07-02,215409,46,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-05-17T14:32:15Z,"hindi hip hop,desi hip hop","MC Stan",0.74,0.648,10,-5.171,0,0.0374,0.659,0,0.11,0.4,122.03,4
spotify:track:2sKGFDYcN7mJ4S7xQHjCBr,"Why Not Meri Jaan","Why Not Meri Jaan","Young Stunners;Talha Anjum;Talhah Yunus",2021-09-15,168439,38,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-06-17T16:40:17Z,"desi hip hop,hindi hip hop,desi,punjabi hip hop","Pepsi Pakistan",0.795,0.524,8,-7.533,1,0.422,0.344,0,0.0713,0.753,185.991,4
spotify:track:61tTaZhoX9wHV7ofCbsTDv,"Sanak","Sanak","Authen",2020-03-18,219212,30,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-06-22T03:16:26Z,"desi hip hop,hindi hip hop","Reset Music",0.829,0.424,1,-10.413,1,0.27,0.431,0,0.0627,0.556,126.936,4
spotify:track:6WczsctC23FM5Xw6FUKomW,"Like A Movie","GOD MADE ME THE GREATEST","Bella",2022-05-18,121756,0,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-07-02T13:39:30Z,"desi hip hop,hindi hip hop","BellaOfficials",0.804,0.547,11,-9.803,1,0.197,0.495,0,0.127,0.9,139.92,4
spotify:track:0TeH0rRFmef6eqk86MPyUA,"MACHAYENGE 4","MACHAYENGE 4","Emiway Bantai",2022-07-13,605898,43,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-07-14T13:12:12Z,"hindi hip hop,desi hip hop","Bantai Studio",0.62,0.801,8,-4.287,1,0.323,0.197,0,0.112,0.572,129.697,4
spotify:track:73N5AghXPjYtAoS6RIYPZd,"CHUSAMBA","CHUSAMBA","Emiway Bantai",2022-04-03,193663,43,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-07-14T13:12:28Z,"hindi hip hop,desi hip hop","Bantai Studio",0.777,0.816,7,-3.884,1,0.275,0.349,0,0.195,0.667,139.68,4
spotify:track:5J3qCUclRF7NnIgA6VzNiZ,"Don't Forgive Me","Hooked","Shah Rule;DIVINE",2021-04-28,219092,34,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-08-06T07:27:18Z,"desi hip hop,hindi hip hop,punjabi hip hop,punjabi pop","Universal Music India Pvt Ltd.",0.869,0.56,0,-8.399,1,0.0432,0.42,0,0.115,0.37,114.982,4
spotify:track:6wQarVBXad0ia7O9k86tUf,"Bt Ho Gayi","Hustle 2.0","Paradox",2022-09-03,160851,0,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-09-10T14:25:51Z,"hindi hip hop,desi hip hop,punjabi hip hop,punjabi pop","Viacom18 Media Pvt. Ltd.",0.805,0.703,10,-6.363,0,0.399,0.113,0,0.165,0.771,93.97,4
spotify:track:6HZVYWwSmbYJAnntaEgFQF,"Badan","Badan","Raga;Harjas Harjaayi",2022-10-06,174736,36,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-10-18T13:59:23Z,"desi hip hop,hindi hip hop,haryanvi pop,punjabi hip hop","Universal Music India Pvt Ltd.",0.898,0.598,6,-10.23,0,0.346,0.669,0,0.0633,0.728,114.12,4
spotify:track:1HCdZjUS2HaXCf7SJpOROy,"Villain","Still Here","KR$NA;Karma;Ikka",2021-03-18,218400,45,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-10-18T13:59:35Z,"desi hip hop,hindi hip hop,punjabi hip hop,hardcore hip hop,bollywood,desi","Kalamkaar",0.842,0.657,6,-5.158,1,0.241,0.0702,0,0.585,0.274,99.986,4
spotify:track:2ZL0rLsGPUBjM6ygXOf3TG,"Baap Se","Asli Independent","Fotty Seven;KR$NA",2020-11-06,156037,44,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-10-18T14:02:11Z,"desi hip hop,hindi hip hop,punjabi hip hop,hardcore hip hop","Kalamkaar",0.577,0.692,0,-7.839,1,0.335,0.0157,0,0.364,0.382,200.001,4
spotify:track:6EP117i3gizdFg9neGen0s,"Tadipaar","Tadipaar","MC STAN",2020-12-31,466285,50,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-10-18T14:02:21Z,"hindi hip hop,desi hip hop","MC Stan",0.62,0.813,1,-4.833,1,0.161,0.449,0.00000148,0.21,0.37,139.587,4
spotify:track:04c349zInSS0uJom6810Rd,"Graffiti","Nishu","Ikka",2022-07-26,185304,19,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-10-31T04:01:29Z,"desi hip hop,hindi hip hop,bollywood,desi","Kalamkaar",0.686,0.569,10,-8.773,0,0.221,0.373,0,0.179,0.7,82.146,4
spotify:track:4wvWfdRbzIVkDY0JFwrLSl,"Maut Ka Kua","Maut Ka Kua","Nazz",2021-11-08,185888,22,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-11-01T14:59:32Z,"desi hip hop,hindi hip hop","Nazz",0.79,0.507,5,-7.976,0,0.0689,0.284,0,0.0636,0.656,101.96,4
spotify:track:0P2wTSZHL6mRIpFL2nHkEk,"Cowboy","Hustle 2.0","Paradox",2022-10-16,125458,0,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-11-07T05:42:26Z,"hindi hip hop,desi hip hop,punjabi hip hop,punjabi pop","Viacom 18 Media Private Limited_Spotify",0.929,0.681,0,-5.587,1,0.197,0.143,0,0.125,0.838,95.958,4
spotify:track:5fbKzbj3GMXvWpyBUAhXnJ,"Sheher","Sheher","Raga",2022-03-22,210731,37,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-11-08T13:20:30Z,"desi hip hop,hindi hip hop","Universal Music India Pvt Ltd.",0.8,0.716,1,-8.598,1,0.686,0.22,0,0.0852,0.576,81.958,4
spotify:track:0Dwsm89mqCLjfwiRstctbl,"Sanki","Nishu","Ikka;Seedhe Maut;Raga;Aghor",2022-07-26,298691,42,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-11-08T13:44:47Z,"desi hip hop,hindi hip hop,bollywood,desi,hardcore hip hop","Kalamkaar",0.798,0.607,1,-6.359,1,0.317,0.0167,0.00000162,0.116,0.392,85.977,4
spotify:track:01AKiTk6iF60Kpvitd1Ih1,"Astaghfirullah","Astaghfirullah","MC STAN",2019-12-31,213333,48,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-12-06T13:59:20Z,"hindi hip hop,desi hip hop","MC Stan",0.653,0.725,0,-8.464,1,0.0912,0.091,0.000426,0.251,0.349,125.956,4
spotify:track:0mOpLJQBj7Q2ElfUdahRVy,"Amin","Tadipaar","MC STAN",2020-12-31,386584,46,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-12-06T13:59:29Z,"hindi hip hop,desi hip hop","MC Stan",0.469,0.714,7,-8.676,0,0.212,0.112,0.00000476,0.245,0.244,99.951,4
spotify:track:5ZTsPwtt7aCuzbWd5rDGys,"Shana Bann","Shana Bann","MC STAN",2022-06-12,228112,51,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-12-06T13:59:47Z,"hindi hip hop,desi hip hop","HINDI RECORDS",0.674,0.514,5,-10.956,1,0.227,0.0126,0,0.158,0.192,99.901,4
spotify:track:7sTJfQrI0QfM1B4xbnCGSj,"Yede Ki Chadar","Yede Ki Chadar","MC STAN;DEAF",2019-11-26,200331,46,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-12-06T13:59:50Z,"hindi hip hop,desi hip hop","MC Stan",0.809,0.69,1,-6.529,1,0.118,0.228,0,0.136,0.711,129.954,4
spotify:track:3v3FEONiwvufayPNcWzHhc,"Mera Bhai","Punya Paap","DIVINE",2020-12-03,182774,47,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-12-06T14:00:02Z,"hindi hip hop,desi hip hop,punjabi hip hop,punjabi pop","Universal Music India Pvt Ltd.",0.663,0.81,5,-5.826,1,0.385,0.286,0.00034,0.342,0.464,129.062,4
spotify:track:6kgjAzlCRsFAbJKxfkxB7b,"Cole","Cole","Bella",2021-07-23,142129,20,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-12-06T14:00:08Z,"desi hip hop,hindi hip hop","Songdew",0.783,0.568,10,-6.464,0,0.188,0.661,0,0.101,0.919,149.93,3
spotify:track:4G4mzPZFeJRtiTRMZer86A,"12 Bajay","12 Bajay","Talha Anjum;Talhah Yunus;Rap Demon",2020-10-09,372000,33,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-12-06T14:00:10Z,"desi hip hop,hindi hip hop,desi,punjabi hip hop","Young Stunners",0.905,0.551,5,-7.337,0,0.102,0.586,0,0.208,0.695,119.986,4
spotify:track:7e9u0IMrVtnRBWavz3D7oa,"Hood Me Toh Aa","Hood Me Toh Aa","Young Galib;Thoratt;MEMAX;Minta",2022-06-30,273246,39,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-12-06T14:00:13Z,"desi hip hop,hindi hip hop","Bantai Records",0.901,0.549,9,-6.806,0,0.296,0.0764,0,0.298,0.818,113.022,4
spotify:track:6YHjNTSPx4ItOMEsQIVH3G,"Nishu","Nishu","Ikka",2022-07-26,212375,41,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-12-06T14:00:20Z,"desi hip hop,hindi hip hop,bollywood,desi","Kalamkaar",0.595,0.554,10,-7.733,0,0.442,0.378,0,0.0981,0.544,179.9,3
spotify:track:4xj9pCtTgyGHpeALUzgxll,"Namastute","न","Seedhe Maut",2021-09-08,120187,14,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-12-06T14:00:23Z,"desi hip hop,hindi hip hop,hardcore hip hop","Azadi Records",0.782,0.84,10,-6.448,0,0.25,0.108,0.00000884,0.158,0.752,159.945,4
spotify:track:2Ce4FuQ4YsDFT6ZadpAcuR,"Khuja Mat","Khuja Mat","MC STAN",2019-01-01,300930,43,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-12-06T14:00:27Z,"hindi hip hop,desi hip hop","MC Stan",0.716,0.606,9,-6.461,1,0.173,0.241,0.00000151,0.0709,0.131,131.969,4
spotify:track:5RdA6XCTDxeaVjqfLvdGft,"Rehmani Keeda","Rehmani Keeda","MC STAN",2021-05-28,245427,38,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-12-06T14:01:08Z,"hindi hip hop,desi hip hop","MC Stan",0.705,0.487,6,-10.584,0,0.16,0.155,0,0.359,0.707,98.04,1
spotify:track:0OxG3hlJNNzXcSrNVXEu8f,"I Guess","I Guess","KR$NA",2022-10-26,186086,65,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-12-06T14:01:30Z,"desi hip hop,hindi hip hop,punjabi hip hop,hardcore hip hop","Kalamkaar",0.83,0.905,8,-5.018,0,0.237,0.172,0,0.153,0.926,137.953,4
spotify:track:7bACuq4Lv8inFcK5rX36O6,"Numberkari","Tadipaar","MC STAN",2020-12-31,248000,43,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-12-06T14:02:13Z,"hindi hip hop,desi hip hop","MC Stan",0.541,0.659,10,-7.845,1,0.251,0.198,0,0.0956,0.278,119.997,4
spotify:track:2Xv14bnP2GP8CybxqUswoK,"GUESS","GUESS","Emiway Bantai",2022-10-30,168827,43,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-12-06T14:02:17Z,"hindi hip hop,desi hip hop","Bantai Studio",0.616,0.916,10,-3.234,0,0.258,0.0927,0,0.353,0.87,145.39,4
spotify:track:67KTXqxMEyBMq3LApqCgNV,"","","",0000,0,0,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-12-06T14:04:07Z,"","",0.709,0.829,0,-5.817,1,0.245,0.0698,0,0.561,0.654,137.954,4
spotify:track:1MGGL4HhGkixTKXpNj43Zb,"नalla Freestyle","नalla Freestyle","Seedhe Maut;DJ Sa",2022-09-13,177316,10,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-12-06T14:05:00Z,"desi hip hop,hindi hip hop,hardcore hip hop","Azadi Records",0.876,0.47,0,-11.441,1,0.332,0.183,0.000214,0.143,0.583,132.926,5
spotify:track:0nLGJHS4qaYrynx0MWOCd8,"Gandi Paro","Gandi Paro","MC INSANE",2021-11-19,184145,0,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-12-06T14:06:10Z,"hindi hip hop,desi hip hop","Elementz",0.894,0.398,8,-10.944,1,0.431,0.0622,0,0.175,0.471,121.058,4
spotify:track:3JCubtvDYZwKod3lbPxjSY,"Sapna","Sapna","Deeplie",2022-10-21,263944,0,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-12-22T07:55:00Z,"","SNOWBERRY MUSIC",0.73,0.589,8,-9.466,1,0.429,0.216,0,0.34,0.537,124.376,4
spotify:track:3ZGJhN4unVspOqpwGvUL2W,"Lemonade","Drive Thru","Diljit Dosanjh",2022-07-15,166666,65,false,316wie4bon4ndsxdt5cdtb76cpzq,2023-01-15T16:41:51Z,"bhangra,punjabi pop,punjabi hip hop,desi,bollywood","DILJIT DOSANJH",0.789,0.744,1,-7.245,1,0.0414,0.281,0,0.0763,0.783,143.998,4
spotify:track:7hdaXG4jT764zsZhuyrtyg,"Firse Kata Lega","Firse Kata Lega","Ansh4sure",2023-01-12,124437,15,true,316wie4bon4ndsxdt5cdtb76cpzq,2023-01-27T05:39:44Z,"desi hip hop,hindi hip hop,hindi indie","Ansh4sure",0.956,0.519,10,-7.489,0,0.0847,0.457,0.0000831,0.111,0.584,107.975,4
spotify:track:6UWlAw7SRidFHyYgiqlqX0,"ALAG BT","ALAG BT","Munawar Faruqui;Hitzone;Sez on the Beat",2023-01-27,200076,19,true,316wie4bon4ndsxdt5cdtb76cpzq,2023-02-01T14:00:30Z,"desi hip hop,hindi hip hop,punjabi pop,punjabi hip hop","Warner Music India",0.908,0.67,1,-7.971,1,0.152,0.0553,0,0.106,0.428,130.008,4
spotify:track:7i6WQRhgwXqWJ3CnpJIu0U,"Rx100","Rx100","MC GAWTHI",2022-10-21,320400,0,true,316wie4bon4ndsxdt5cdtb76cpzq,2023-02-01T14:00:40Z,"desi hip hop,hindi hip hop,marathi pop","MC GAWTHI",0.604,0.85,9,-3.155,1,0.26,0.3,0,0.311,0.391,99.496,4
spotify:track:7eAqsPCKz8EDWUhOlrA0Bk,"6IX","6IX","Talhah Yunus",2020-09-14,186122,18,true,316wie4bon4ndsxdt5cdtb76cpzq,2023-03-02T16:21:35Z,"desi hip hop,hindi hip hop,punjabi hip hop","Young Stunners",0.819,0.626,9,-7.206,0,0.17,0.11,0,0.109,0.88,95.014,4
